ID,Authors,Year,Title,Venue,DOI,Make (TA),Evidence type,Sector,SCOR (Y),End-to-end,AI technique,AI role,Integration extent,HITL role,HITL function,Use in typology,Key finding
R0306,Lim J.-B.; Jeong J.,2023,Factory Simulation of Optimization Techniques Based on Deep Reinforcement Learning for Storage Devices,Applied Sciences (Switzerland),10.3390/app13179690,Make,Simulation/synthetic,Electronics manufacturing (battery management system production line; intra-plant stocker/buffer logistics),Make,N,Reinforcement learning,Control,5 Prescriptive-autonomous,Reduced,Set objectives/constraints,Y,PPO agent (Stable-Baselines3 in FlexSim) choosing which item type each router pulls from the stocker cut stocker average waiting time from 3348 s (FIFO) to 145 s and mean queue from about 272 to 12 items at similar daily output (7304 vs 7058); converged after 3000-8000 training steps.
R0309,Ivanov D.,2023,"Intelligent digital twin (iDT) for supply chain stress-testing, resilience, and viability",International Journal of Production Economics,10.1016/j.ijpe.2023.108938,,Conceptual,Generic/cross-sector,Plan/Source/Make/Deliver,Y,Other,Decision support,4 Prescriptive-advisory,Elevated,Set objectives/constraints; Handle exceptions; Approve/override,Y,"Proposes the iDT: an SC digital twin extended with an AI part (agents' training/learning environment, self-learning, rule discovery from data). Humans define practices and rules, decide (step 4) with iDT support and keep non-standardised situations; AI takes standardised tasks, recommends and extends human metaknowledge; mutual delegation, no full automation."
R0322,Melesse T.Y.; Bollo M.; Pasquale V.D.; Centro F.; Riemma S.,2022,Machine Learning-Based Digital Twin for Monitoring Fruit Quality Evolution,Procedia Computer Science,10.1016/j.procs.2022.01.200,,Empirical data,Food/cold chain,Deliver,N,Other deep learning,Forecasting/estimation,2 Diagnostic,Reduced,Interpret outputs,Y,"A deep CNN trained on 3,968 thermal images of bananas (four grades: fresh, good, bad, rotten) reached 99% validation and test accuracy, taken as proof that thermal imaging can feed a machine-learning-based fruit digital twin that alerts retailers before stock is wasted; the SAP-based twin architecture remains a proposal."
R0323,Leung E.K.H.; Lee C.K.H.; Ouyang Z.,2022,From traditional warehouses to Physical Internet hubs: A digital twin-based inbound synchronization framework for PI-order management,International Journal of Production Economics,10.1016/j.ijpe.2021.108353,,Simulation/synthetic,Warehousing,Plan/Deliver,N,Hybrid,Forecasting/estimation; Optimisation,4 Prescriptive-advisory,Reduced,Interpret outputs; Provide data/labels,Y,"A DT/IoT-based framework for Physical Internet city hubs embeds ANFIS demand forecasting and a joint order-fulfilment/replenishment optimisation model; simulation of a 600-SKU forward-reserve hub shows joint, forecast-driven operations cut daily picker travel by 80.9% and reserve-area visits by 79.8% versus standalone operations."
R0327,Martin G.; Oger R.,2022,A Reinforcement Learning Powered Digital Twin to Support Supply Chain Decisions,Proceedings of the Annual Hawaii International Conference on System Sciences,10.24251/hicss.2022.287,,Simulation/synthetic,"Healthcare (drug/pharmaceutical distribution chain: manufacturer, custodian, wholesaler-distributor, pharmacies)",Plan/Source/Deliver,Y,Reinforcement learning,Decision support,4 Prescriptive-advisory,Reduced,Approve/override,Y,"A two-phase framework trains a DRL agent (Dueling DDQN, action branching) in a simulated environment that then serves as the supply chain digital twin, recommending replenishment orders for a four-echelon drug chain; the agent approaches and sometimes exceeds base-stock performance, far exceeds a human-like heuristic, but is less stable."
R0328,Greis N.P.; Nogueira M.L.; Rohde W.,2022,Towards Learning-Enabled Digital Twin with Augmented Reality for Resilient Production Scheduling,IFAC-PapersOnLine,10.1016/j.ifacol.2022.09.678,Make,Conceptual,"Discrete manufacturing (rail parts, Siemens use case)",Plan/Source/Make/Deliver,Y,Classical ML,Forecasting/estimation; Decision support,4 Prescriptive-advisory,Elevated,Approve/override; Handle exceptions; Interpret outputs,Y,"Conceptual extension of the authors' ML-enabled digital twin for integrated production-logistics: AR overlays present ML rescheduling recommendations, KPIs and plan-vs-actual deviations so a human can select or override recommendations outside the model's learned experience; rare exogenous disruptions stay with human experts; cognitive twins are the longer-term path."
R0331,Greis N.P.; Nogueira M.L.; Rohde W.,2021,Digital Twin Framework for Machine Learning-Enabled Integrated Production and Logistics Processes,IFIP Advances in Information and Communication Technology,10.1007/978-3-030-85874-2_23,Make,Conceptual,Discrete manufacturing (generic OEM with upstream supplier and downstream customer; no named case),Plan/Source/Make/Deliver,Y,Classical ML,Forecasting/estimation; Decision support,5 Prescriptive-autonomous,Reduced,Set objectives/constraints; Interpret outputs,Y,Conceptual three-module framework: ML supplier-risk prediction (RF/SVM/kNN/ANN) feeds a shop-floor digital twin whose sense-and-respond ML model recommends rescheduling; the twin simulates and validates the schedule before it is pushed to MES for execution; a transit module cascades delays to customer delivery dates. No implementation or results.
R0520,Nozari H.; Yordanova Z.,2026,A Self-Deciding Adaptive Digital Twin Framework Using Agentic AI for Fuzzy Multi-Objective Optimization of Food Logistics,Algorithms,10.3390/a19030218,,Simulation/synthetic,Food/cold chain,Plan/Source/Deliver,Y,Hybrid,Optimisation,5 Prescriptive-autonomous,Reduced,Set objectives/constraints,Y,"Embedding a fuzzy multi-objective model in an adaptive digital twin whose agentic layer re-weights objectives from the twin state cut logistics cost ~4-5% and waste ~13% and raised service level ~4% versus static weights, with faster post-disruption recovery; the loop selects and implements policies with no human step."
R0525,Ivanov D.; Gusikhin O.,2026,Supply chain digital twin design and implementation at scale: A case study at the Ford Motor Company and generalizations,Omega (United Kingdom),10.1016/j.omega.2025.103447,,Empirical case,Automotive,Plan/Source/Make/Deliver,N,Hybrid,Decision support,4 Prescriptive-advisory,Maintained,Interpret outputs,Y,"Ford's at-scale SCDT is a federated, three-layer (intracompany/Tier-1/deep-tier) twin whose executed AI is deep-learning-plus-survival-analysis supplier-shortfall forecasting; agentic AI is designed in as an orchestrator of point tools that alerts managers and recommends actions, while final decisions stay with humans; autonomous execution remains prospective (only e-mail alerts run unattended)."
R0530,Zhang C.; Wang X.; Liu L.,2026,Next-Generation AI‑Driven Digital Twin Framework for Market Volatility Warning and Risk Detection in Global Logistics Supply Chains,IEEE Communications Standards Magazine,10.1109/mcomstd.2025.3641867,,Conceptual,"Global logistics / multimodal freight (vessels, trucks, ports, warehouses, cold chain)",Plan/Deliver,N,Hybrid,Anomaly detection,3 Predictive,Maintained,Handle exceptions,Y,"Standards-aligned, security-centred AI-driven DT architecture for global logistics: 5G/6G sensor streams pass an edge node to a secure cloud that updates per-asset twins; gradient-boosted trees and LSTM models trained by federated learning detect anomalies and forecast volatility, and alerts go to operators for proactive intervention. Conceptual, no empirical validation."
R0554,Ivanov D.,2025,"Conceptual and formal models for design, adaptation, and control of digital twins in supply chain ecosystems",Omega (United Kingdom),10.1016/j.omega.2025.103356,,Conceptual,Generic/cross-sector (illustrative scenarios: tariff-shock resilience stress testing; agri-food cereal supply chain in MENA via the CERERE platform under development),Plan/Source/Make/Deliver,Y,Hybrid,Decision support,4 Prescriptive-advisory,Maintained,Approve/override,Y,"Theory-building paper: defines the digital supply chain ecosystem, formalizes the twin as a control-theoretic decision-support loop (plan, control, observe, adapt) and a cyber-physical framework with a human-AI collaboration space; AI generates/adapts models and scenarios and recommends actions, while humans verify and decide (AI agent is support, not decision-maker)."
R0564,Neyra J.; Silva L.; Netto J.; Medina A.,2025,Optimization of Operations in Solid Bulk Port Terminals Using Digital Twin,Proceedings - Winter Simulation Conference,10.1109/wsc68292.2025.11339094,,Empirical case,"Maritime/port (solid bulk / iron ore export terminal, Brazil)",Plan/Deliver,N,Metaheuristic/evolutionary,Optimisation,4 Prescriptive-advisory,Maintained,Set objectives/constraints,Y,"AnyLogic agent-based simulation coupled with an Ant Colony System scheduler, validated against real terminal KPIs (deviations under 5%), cut total ship stay time from 199.6 h to 194.3 h in the base scenario (84.8 h with simultaneous yard-to-ship routes), with estimated demurrage savings of USD 130,750-788,969 within about five minutes."
R0589,"Shang, W; Wang, YJ; Zhu, AD; Chen, Y; Fu, PH; Li, XL; Zhu, LF; Sheng, JQ; Zhang, B; Yue, J",2025,"DigiPyramid: A Multiresolution Digital Twin Framework for Reliable Logistics Management-Conceptualization, Implementation, and Intelligentization",IEEE ACCESS,10.1109/access.2025.3606168,,Empirical case,"Warehousing/logistics (nationwide distribution network, China)",Plan/Deliver,N,Hybrid,Forecasting/estimation,3 Predictive,Maintained,Interpret outputs; Set objectives/constraints,Y,"Implemented multiresolution logistics twin (DigiPyramid) for a Chinese nationwide logistics firm: RPA aggregates ERP/WMS/TMS data, Bayesian networks and computer vision fill 'breakpoints', 'gray boxes' and 'black boxes', and AHP-derived indicators serve four human decision levels (managers, planners, schedulers, operators); humans keep all decisions, AI only improves twin fidelity."
R0591,"Zhou, LY; Leng, SP; Quek, TQS",2025,VerDT: A Versatile Digital Twins Framework for UAVs-Based Industrial Cyber-Physical Systems,IEEE TRANSACTIONS ON MOBILE COMPUTING,10.1109/tmc.2025.3567284,,Simulation/synthetic,UAV logistics (parcel delivery),Deliver,N,Hybrid,Optimisation,5 Prescriptive-autonomous,Replaced,None,Y,"Edge-hosted double digital twin (learned resource-scheduling twin plus PSO path-planning twin, built from GAN-augmented data with attention-based learning and MA-DDPG) plans UAV parcel deliveries fully autonomously; hardware-in-the-loop Gazebo tests show 63.9% lower distribution latency and 10.9% higher successful-delivery ratio than benchmarks."
R0614,Biller B.; Biller S.,2023,Implementing Digital Twins That Learn: AI and Simulation Are at the Core,Machines,10.3390/machines11040425,,Conceptual,"Generic/cross-sector (manufacturing; factory and supply chain process twins, examples from semiconductor, battery, healthcare, consumer goods)",Plan/Source/Make/Deliver,Y,Hybrid,Decision support,4 Prescriptive-advisory,Maintained,Interpret outputs,Y,"Conceptual framing of process (factory/supply chain) digital twins as evolving, learning systems built on four elements (Data, Domain, Analytics, Outcome) and three functions (offline model development, real-time synchronization, online learning); discrete-event simulation augmented by ML surrogates, RL agents and computer vision describes, predicts and prescribes actions on factory/supply-chain KPIs."
R0621,Melesse T.Y.; Bollo M.; Di Pasquale V.; Riemma S.,2022,Digital Twin for Inventory Planning of Fresh Produce,IFAC-PapersOnLine,10.1016/j.ifacol.2022.10.134,,Empirical case,"Food/cold chain (non-profit food bank, fresh fruit)",Plan/Source/Deliver,N,Other,Forecasting/estimation,3 Predictive,Maintained,Interpret outputs,Y,"A time-series forecasting model in SAP Analytics Cloud (Smart Predict) on the food bank's historical donation and distribution data is framed as a continuously updated digital twin that predicts inbound donations and charity demand, letting operators reschedule deliveries and run what-if scenarios to cut fruit waste; no accuracy metrics reported."
R0629,Shi L.; Yan L.; Shuqing B.; Cuobo Z.; Yuanchong C.,2021,Research on Intelligent Assembly Modes of Aerospace Products Based on Digital Twin,Journal of Physics: Conference Series,10.1088/1742-6596/1756/1/012011,Make,Empirical case,Aerospace,Plan/Make,N,Other,Optimisation,5 Prescriptive-autonomous,Reduced,Interpret outputs,N,"A three-layer (hardware/software/application) digital-twin assembly platform for aerospace mixed-line production couples a workshop-level twin (plan, logistics and quality optimization via data mining) with a line-level twin (fuzzy-reasoning model matching driving equipment monitoring, path and inventory optimization); optimized information is fed back automatically to the shop floor."
R0639,Gao D.; Zhao H.,2026,A Big Data-Driven Knowledge Framework for Supply Chain Risk Prediction and Performance Optimization in Multinational Corporations,International Journal of Knowledge Management,10.4018/ijkm.402393,,Simulation/synthetic,Generic/cross-sector,Plan/Source/Deliver,Y,Hybrid,Forecasting/estimation,4 Prescriptive-advisory,Maintained,Interpret outputs,Y,"Three-layer framework (ML/DL risk scoring, digital-twin scenario testing, performance linkage) on a synthetic MNC panel: Federated GCN gave the best disruption prediction (AUC 0.94); twin scenarios showed cross-border diversity, digitalization and ESG dampened climate-shock losses and cut recovery from eight to five months."
R0663,Lu X.; Lin Y.; Ng H.; Liu Y.,2025,When Interpretability Meets Efficiency: Integrating Emulation into Supply Chain Simulation,Proceedings - Winter Simulation Conference,10.1109/wsc68292.2025.11339053,,Empirical case,"Retail (Amazon e-commerce retail supply chain: vendors, purchase orders, fulfilment warehouses, customer outbound)",Plan/Source/Deliver,Y,Classical ML,Simulation surrogate,3 Predictive,Maintained,Interpret outputs,Y,"SEmulate replaces the computationally expensive OR order-placing optimisation inside Amazon's digital-twin supply chain simulator with monotonic XGBoost emulators plus ML vendor fill-rate predictors, keeping physics-based inbound/outbound logic; runtime falls ~90% (orders of magnitude) with ~3% accuracy loss, enabling rapid, interpretable counterfactual experimentation for decision-makers."
R0674,Ashraf M.; Eltawil A.; Ali I.,2024,Disruption detection for a cognitive digital supply chain twin using hybrid deep learning,Operational Research,10.1007/s12351-024-00831-y,,Simulation/synthetic,Generic/cross-sector,Plan/Source/Make/Deliver,Y,Hybrid,Anomaly detection; Forecasting/estimation,3 Predictive,Maintained,Interpret outputs; Set objectives/constraints,Y,"CDSCT framework whose disruption-detection module (deep autoencoder + OCSVM) reached 97.6% recall, 2.5% false alarms and 7.1-day mean detection lag on a simulated make-to-order three-echelon supply chain; LSTM models identify the disrupted echelon and predict time-to-recovery; outputs inform human decision-makers, who deploy recovery policies and choose the sensitivity/false-alarm trade-off."
