id,title,authors,year,source,doi,code,exclusion_reason,snowballing_value,background_pool_c8,make
R0122,Digital Twin Approach for Ship Energy Management,Bonvicini A.; Cangelosi D.; Ingargiola R.; Marchese A.; Previti G.,2025,Scopus,10.3233/pmst250138,E2,No supply chain scope,,,
R0123,Smart Robotics in Shipbuilding Process,Carlo D.,2025,Scopus,10.3233/pmst250134,E1,No digital twin/model,,,
R0124,Quantitative Methods for Agri-Food Supply Chain Resilience: A Systematic Literature Review Using Text Mining,Çali S.; Ekren B.Y.; Toy A.Ö.,2025,Scopus + WoS,10.1016/j.ifacol.2025.09.044,E4,Wrong publication type,medio,,
R0125,Semantic Digital Twin Modeling of Urban Elements: Methods and Applications in Smart Cities,Li Y.; Yang J.; Zhang S.; Li Y.; Ye S.; Qin Z.; Guan Y.,2025,Scopus,10.1111/tgis.70144,E2,No supply chain scope,,,
R0126,ANTICIPATORY SYSTEMS IN SUPPLY CHAIN MANAGEMENT: THE ROLE OF ARTIFICIAL INTELLIGENCE AND PREDICTIVE ANALYTICS,Schrimpsher V.A.; Pham H.; Wooley A.,2025,Scopus + WoS,,E1,No digital twin/model,,,
R0127,Generative AI-Powered Digital Twins in Aviation: A Framework for Intelligent Simulation and Decision Making,Dubey A.,2025,Scopus + WoS,10.1109/isemv67326.2025.00034,I,,,,Make
R0128,AI and Big Data Analytics for Predicting Consumer Behaviour in Emerging Markets,Akshaya; Senthil Kumar B.; Ramji B.; Hassan M.M.; Shamila M.; Niranjanamurthy M.,2025,Scopus,10.1109/icmctc62214.2025.11196618,E1,No digital twin/model,,,
R0129,Integrating digital twin and blockchain for responsive working capital management in supply chains facing financial disruptions,Badakhshan E.; Ivanov D.,2025,Scopus + WoS,10.1080/00207543.2025.2507112,I,,,,
R0130,Bridging Sim2Real – Digital Twin for Autonomous Mobile Robots,Ding X.Y.; Ge J.; Yap W.-S.; Danny W.-K.N.; Wang F.-Y.; Goh C.-H.; Ding W.; Hau L.C.,2025,Scopus + WoS,10.1109/mesa68091.2025.11278886,E2,No supply chain scope,,,
R0131,A Bibliometric and Trend Analysis on Intelligent Technologies in Fashion 5.0 Supply Chains,Stijlen C.; Onar S.C.; Sarbazvatan S.,2025,Scopus,10.1007/978-3-031-97985-9_87,E4,Wrong publication type,medio,,
R0132,INTEGRATING ARTIFICIAL INTELLIGENCE INTO THE ARCTIC ECONOMY: PROSPECTS FOR RUSSIAN-CHINESE COOPERATION; [ИНТЕГРАЦИЯ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА В ЭКОНОМИКУ АРКТИКИ: ПЕРСПЕКТИВЫ РОССИЙСКО-КИТАЙСКОГО СОТРУДНИЧЕСТВА],Skvortsova I.V.; Teslya A.B.; Somov A.G.; Zhang X.,2025,Scopus,10.37614/2220-802x.4.2025.90.010,E5,Not in English,,,
R0133,Digital Twin in Supply Chain Management: A Transformative Innovation for Resilience and Efficiency,Rai D.K.; Mani B.,2025,Scopus,10.1109/nkcon66957.2025.11345727,E3,No AI/ML component,,medio,
R0134,PORT PLANNING IN THE FACE OF ARTIFICIAL INTELLIGENCE: TOWARDS AN INNOVATIVE METHODOLOGICAL APPROACH,De Bari F.; Elsayeh M.-E.M.; Paroli M.; Querci A.; Papucci F.; Meini F.; Bonistalli M.; Scarsi M.,2025,Scopus,10.21622/1617,E1,No digital twin/model,,,
R0135,"Comparative forecasting of container throughput for maritime logistics using statistical, machine learning and explainable AI models",Lamdjad B.,2025,Scopus + WoS,10.1108/mabr-08-2025-0086,E1,No digital twin/model,,,
R0136,Toward Smart Manufacturing Metaverse via Digital Twinning in Extended Reality,Yang H.; Aqlan F.; Zhao R.,2025,Scopus + WoS,10.1115/1.4070437,E4,Wrong publication type,medio,,
R0137,From digital twins to supply chain ecosystems,Ivanov D.,2025,Scopus + WoS,10.1016/j.ifacol.2025.09.014,I,,,,
R0138,Outlining Expectations for Integrating Industry 5.0 Principles into Supply Chain Resilience Strategies,Elhidaoui S.; Hakmaoui I.; Elhanna R.,2025,Scopus + WoS,10.1109/logistiqua66323.2025.11122823,E1,No digital twin/model,,,
R0139,Predictive Analytics using Geolocation in Logistics: A Review,Sen S.; Chauhan L.,2025,Scopus,10.1109/gitcon65266.2025.11376703,E4,Wrong publication type,medio,,
R0140,The Research Landscape of Data-Driven Simulation in Transport and Logistics,Merkuryeva G.; Merkuryev Y.,2025,Scopus,10.1016/j.procs.2025.12.007,E4,Wrong publication type,alto,,
R0141,"The geo-politics of resilience: On the historical convergence between ecology, artificial intelligence, and corporate strategy",Halpern O.,2025,Scopus + WoS,10.1177/14614448251336420,E1,No digital twin/model,,,
R0142,Optimizing the Supply Chain through Instanteneous Synchronization of Logistics Interfaces: A Supply Chain 4.0 Framework,Kandsi L.; Jabir A.; Jawab F.,2025,Scopus,10.1109/atscm67505.2025.11473850,I,,,,
R0143,AI-Powered Digital Twins Revolutionizing Smart Manufacturing and Industrial IoT,Shrivastava A.; Hundekari S.; Praveen R.V.S.; Husain S.O.; Kumar R.; Nijhawan G.,2025,Scopus,10.1109/i2itcon65200.2025.11210486,E2,No supply chain scope,,,
R0144,Resilience and Vulnerability in Electrical Power Systems,Cherim G.-Y.; Saracin C.-G.,2025,Scopus + WoS,10.1109/atee66006.2025.11299884,E1,No digital twin/model,,,
R0145,Digital Twin Applications for Intralogistics Processes: A Literature Review,Ferrari A.; Mangano G.; Zenezini G.,2025,Scopus + WoS,10.1016/j.ifacol.2025.09.274,E4,Wrong publication type,alto,,
R0146,Design of an Iterative Model with Quantum Contextual Supply Chain Optimization under Uncertainty Scenarios,Sampath B.; Kumar P.S.; Sirisha U.; Mahesh A.V.,2025,Scopus,10.1051/epjconf/202534101055,I,,,,
R0147,Digital Twin for Managed Transportation - Transforming Logistics with AI-Driven Supply Chain Optimization,Bhalerao M.,2025,Scopus + WoS,10.1109/temsconglobal64363.2025.11238334,E3,No AI/ML component,,medio,
R0148,AI Based Advanced Green Supply Chain Through Sustainable Finance Strategies,Nagpal M.; Ghale B.; Baxi P.; Pattnaik S.C.; Aroul Canessane R.; Chaudhary P.,2025,Scopus,10.1109/sisimpact67725.2025.11439853,I,,,,
R0149,Reimagining Energy Systems through AI-Augmented Transformation,Ren K.; Huang Z.; Wang Y.; Wu W.,2025,Scopus + WoS,10.1109/bmsb65076.2025.11165625,E2,No supply chain scope,,,
R0150,"Predictive Reliability-Driven Optimization of Spare Parts Management in Aircraft Fleets Using AI, IoT, and Digital Twin Technologies",Mustafa M.A.S.,2025,Scopus,10.56578/jemse040305,I,,,,
R0151,"Generative modeling in smart manufacturing: Applications, challenges, and future directions",Ahsan M.N.; Islam M.D.S.; Bappy M.M.,2025,Scopus,10.1016/j.mfglet.2025.06.148,E4,Wrong publication type,bajo,,
R0152,Enhancing Liquefied Natural Gas supply chain robustness through digital twin-driven machine learning models: A special case of cryogenic heat exchanger,Mhiri M.; Mkacher H.; Al-Khatib M.; Kharbeche M.; AlNouss A.; Haouari M.,2025,Scopus + WoS,10.1016/j.jgsce.2025.205714,I,,,,Make
R0153,Leveraging IT Solutions for Enhancing Reliability in Piggyback Transportation Systems,Mukhamedova Z.; Ibragimova G.; Ergasheva Z.; Yakupbaev K.,2025,Scopus,10.25673/120440,E1,No digital twin/model,,,
R0154,Task support and collaborative capabilities enhancement an mixed reality and digital twin environment using an optimized network,Tiwari A.; Patel N.; Kumar S.,2025,Scopus + WoS,10.1007/s11276-025-04026-x,E2,No supply chain scope,,,
R0155,A Data-Driven Framework for Predictive Maintenance to Enhance Supply Chains Resilience Across Industrial Systems,Mhiri M.; Kharbeche M.; Haouari M.,2025,Scopus,10.1109/ieem63636.2025.11357697,E6,Duplicate,,,
R0156,Accelerating Industry 4.0 and 5.0: The Potential of Generative Artificial Intelligence,Boareto P.A.; Szejka A.L.; Loures E.F.R.; Deschamps F.; Santos E.A.P.,2025,Scopus + WoS,10.1007/978-3-031-80760-2_29,E1,No digital twin/model,,,
R0157,Supply Chain Data Analytics for Digital Twins: A Comprehensive Framework,Xiros V.; Gonzalez Castro J.M.; Fernandez-Pelaez F.; Magoutas B.; Christidis K.,2025,Scopus + WoS,10.3390/app15126939,I,,,,
R0158,Supply Chain Resilient Security for Industrial 4.0 Using AI-Based and Digital Twin Anomaly Detection,Pandey S.; Kandhari H.; Anwar S.R.; Manju Bargavi S.K.; Das Adhikary D.R.; Jegan Antony Marcilin L.,2025,Scopus,10.1109/intellisecai66368.2025.11472943,I,,,,
R0159,Modeling of the Distribution of Production Resources Based on GERT Networks,Kravchenko I.N.; Nekrasov S.I.; Erofeev M.N.,2025,Scopus + WoS,10.1134/s1063784225600699,E1,No digital twin/model,,,
R0160,Industry 4.0 technologies for improving SCOR model's enable phase: A systematic literature review,Selepe R.L.; Munyai T.; Makinde O.,2025,Scopus + WoS,10.1109/icmimt65123.2025.11091944,E4,Wrong publication type,alto,,
R0161,Disruption-Aware Simulation Framework for Supply Chain Delay Prediction Using Machine Learning,Garine R.; Paladugu N.; Nagalla S.; Garine G.; Tawade H.,2025,Scopus + WoS,10.1109/temsconglobal64363.2025.11238282,E1,No digital twin/model,,,
R0162,Plan Future Graph Visualization and Improvement,Croft B.L.,2025,Scopus + WoS,10.1007/978-3-031-78531-3_20,I,,,,
R0163,The Role of Technology in Climate Resilience: A Systematic Literature Review and Mapping Study Approach,Aprizal A.; Wiranatakusuma D.B.; Rizki M.; Anugrah R.A.,2025,Scopus,10.1088/1742-6596/2989/1/012037,E4,Wrong publication type,bajo,,
R0164,Design of a Geographic Path Model for Dongguan Export Based on Multi-Agent Reinforcement Learning and Supply Chain Simulation,Luo B.; Chen H.,2025,Scopus,10.1145/3749566.3749610,I,,,,
R0165,Exploring Technological Innovations in Digital Supply Chain Management: The Mediating Role of Artificial Intelligence,Ayasrah F.T.; Allahham M.; Almajali W.I.; Ahmad A.Y.A.B.; Ashal N.M.; Prasetya F.; Fortuna A.,2025,Scopus,10.1109/cyber-ai66431.2025.11233568,E1,No digital twin/model,,,
R0166,Federated Learning-Driven Digital Twins for Adaptive Optimization in Industrial IoT Systems,William P.; Singh T.P.; Ayasrah F.T.; Sivaperumal S.; Aluvalu R.; Kavitha Rani P.,2025,Scopus,10.1109/fllm67465.2025.11391005,I,,,,
R0167,Prescriptive Analytics for Next-Gen Supply Chains: Integrating Causal AI with Digital Twin Technologies,Gottimukkala S.R.; Bhuram S.K.,2025,Scopus + WoS,10.1109/prmvai65741.2025.11108465,I,,,,
R0168,Integrating Circular Economy and Industry 4.0 within Circular Supply Chains: A Literature Review and Network Analysis Insights,Morshedi M.; Hargaden V.; Papakostas N.; Ghadimi P.,2025,Scopus,10.1016/j.procir.2024.12.073,E4,Wrong publication type,bajo,,
R0169,"Human-in-the-Loop Artificial Intelligence for Asset Management: A Systematic Review of Applications, Methods, and Research Challenges",Industrial N.A.; Singgih M.L.; Gunarta I.K.,2025,Scopus,10.1109/icodse68111.2025.11351812,E4,Wrong publication type,alto,,
R0170,A Digital Twin Framework for Optimized Production Configuration and Simulation for Order Deadline Fulfilment: A Case Study in an Italian Food Company,Croci S.; Mazzuto G.; Ciarapica F.E.; Bevilacqua M.; Ortenzi M.; Osler G.,2025,Scopus,10.1109/ice/itmc65658.2025.11106618,E2,No supply chain scope,,,
R0171,Harnessing Digital Twins for Construction Site Management,Ayoubi A.A.; Ammar A.,2025,Scopus,10.22260/isarc2025/0100,E4,Wrong publication type,medio,,
R0172,Development of a Digital Twin for Global Sourcing Strategy Simulation,Lad M.; Singla L.,2025,Scopus,10.1109/lescdt66758.2025.00026,I,,,,
R0173,Integration of Digital Twin and AI-enabled ERP Systems: A Conceptual Framework for Intelligent Electronics Manufacturing Services,Paul S.,2025,Scopus,10.1109/ciees66347.2025.11300246,I,,,,Make
R0174,Digital Twin-Enabled Supply Chain Management in Cloud-based Smart Enterprises,Manoharan G.; Gharat A.; Banu R.N.; Soni A.; Sudhakar K.; Dhanke J.A.,2025,Scopus,10.1109/icosec67334.2025.11459761,I,,,,
R0175,Harnessing Industry 4.0 technologies in minimizing food loss and waste across the food supply chain: a hybrid study,Sarna K.K.; Das D.; Singh R.K.,2025,Scopus + WoS,10.1108/bij-10-2024-0900,E4,Wrong publication type,medio,,
R0176,A Generic Modeling Method of Multi-Modal/Multi-Layer Digital Twins for the Remote Monitoring and Intelligent Maintenance of Industrial Equipment,Yang M.; Cao Y.; Shangguan S.; Chen X.; Jiang P.,2025,Scopus + WoS,10.3390/machines13060522,E2,No supply chain scope,,,
R0177,Artificial Intelligence Powered IoT for Real-Time Inventory Control and Hyper-Personalized Retail Experiences,Ashok P.; Lakshmi Sridevi S.; Kanagaraj V.; Murali Krishna K.; Patchala S.; Jaiswal S.,2025,Scopus,10.1109/icft66708.2025.11336711,E4,Wrong publication type,bajo,,
R0178,A Data-Intelligence-Driven Digital Twin Framework for Improving Sustainability in Logistics,Abdullahi I.; Larijani H.; Liarokapis D.; Paterson J.; Jones D.; Murray S.,2025,Scopus + WoS,10.3390/app15020601,I,,,,
R0179,Enhancing Warehouse Efficiency Through SAP EWM in S/4HANA,Kattunga R.; Kamballi M.; Subramani P.; Singh S.K.; Saini R.K.,2025,Scopus,10.1109/icsit65336.2025.11294312,E4,Wrong publication type,bajo,,
R0180,Integrated Maritime TIC Enterprise-Based Technology Architecture,Avrianto R.P.; Indrajit R.E.,2025,Scopus,10.1109/icic68054.2025.11309404,E1,No digital twin/model,,,
R0181,Digital Transformation of Industry Through Using AI: A Bibliometric Analysis Approach,Strielkowski W.,2025,Scopus,10.1007/978-3-032-00118-4_2,E4,Wrong publication type,bajo,,
R0182,Federated Intelligence: A Privacy-Preserving Machine Learning Framework for GMP and GDP Compliance in API Supply Chains,Chereddi H.K.; Radhika R.,2025,Scopus,10.14445/23488549/ijece-v12i6p120,E1,No digital twin/model,,,
R0183,Quantum-Edge AI Framework for Real-Time Vehicle-Cargo Matching in Intelligent Transportation Systems,Velmurugadass P.; Anusha P.; Sri T.N.; Lakshmi K.C.; Charvitha Y.,2025,Scopus,10.1109/rcsm67767.2025.11507641,I,,,,
R0184,The smart supply chain management: Huawei's innovative approach,Benahmed S.; Benkhira M.; hansal A.,2025,Scopus,10.1108/ejms-03-2025-0028,I,,,,
R0185,Towards Quantum-Accelerated Urban Systems: Integrating Quantum Computing into Saudi Smart City Megaprojects Architecting Quantum-Smart Infrastructure for Deployment in Vision 2030 Initiatives,Alreshidi E.,2025,Scopus + WoS,10.14569/ijacsa.2025.0161239,E1,No digital twin/model,,,
R0186,"Digital Technology for Construction Circularity: Applications, State of Practice, and Trends",Chen X.; GhaffarianHoseini A.; Liu F.; Guo B.; Ghaffarianhoseini A.,2025,Scopus,10.1007/978-981-96-4051-5_64,E4,Wrong publication type,bajo,,
R0187,"Smart Supply Chains in Morocco: Sectoral Insights, Structural Barriers and Strategic Pathways for Inclusive Digital Transformation",Erradouani H.O.,2025,Scopus,10.1109/atscm67505.2025.11473905,E1,No digital twin/model,,,
R0188,CURRENT DEVELOPMENTS IN THE INDUSTRY FROM THE PERSPECTIVE OF THE RUBBER PROCESSING SECTOR,Dusík M.,2025,Scopus,10.35011/idimt-2025-233,E1,No digital twin/model,,,
R0189,Hydrotwin: Capturing the Heartbeat of the Ocean,Gomes T.; Santos A.; Vanneste J.; Van Toor A.; Ramos C.; Aromatario D.; Carrico R.; Cruz E.; Vaz G.,2025,Scopus + WoS,10.1109/exp.at2565440.2025.11348157,E2,No supply chain scope,,,
R0190,"Risk Management and Macroeconomic Disruptions in Supply Chains: The Role of Blockchain, Digital Twins, Generative AI, and Quantum Computing",Yoon J.; Alkhudary R.; Talluri S.; Fenies P.,2025,Scopus + WoS,10.1109/tem.2025.3585433,E4,Wrong publication type,alto,,
R0191,Generative AI and Territorial Logistics Network Modeling,Meziane B.; Alla L.; Bentalha B.,2025,Scopus,10.1109/atscm67505.2025.11473856,E4,Wrong publication type,medio,,
R0192,Research on Intelligent Strategy and Digital Operation of Automobile Industry Based on Artificial Intelligence,Ma C.; Tobias G.R.,2025,Scopus,10.1109/laai69202.2025.00066,I,,,,Make
R0193,Integrating Supply Chain 5.0 Tools to Establish a Leagile Supply Chain: An Empirical Research in Food Supply Chain,Gutierrez M.; Lopez Z.; Coles P.; Ramos E.,2025,Scopus + WoS,10.1007/978-3-031-98304-7_55,E1,No digital twin/model,,,
R0194,A conceptual digital twin framework for supply chain recovery and resilience,Ogunsoto O.V.; Olivares-Aguila J.; ElMaraghy W.,2025,Scopus + WoS,10.1016/j.sca.2024.100091,I,,,,
R0195,A DIGITAL TWIN FRAMEWORK FOR COMPUTER HARDWARE DESIGN AND ASSEMBLY: A RISK-PRIORITIZED APPROACH,Elsasser R.; Li H.; Kovalenko I.,2025,Scopus,10.1115/msec2025-155848,E1,No digital twin/model,,,
R0196,Immersive collaborative business process and extended reality-driven industrial metaverse technologies for economic value co-creation in 3D digital twin factories,Chatterjee S.; Kliestik T.; Rowland Z.; Bugaj M.,2025,Scopus + WoS,10.24136/oc.3596,E3,No AI/ML component,,,
R0197,Design and Implementation of a Semi-automated Warehouse System for Smart Logistics in Urban Infrastructure,Tsai W.-H.; Lee K.-H.; Yang C.-F.,2025,Scopus,10.18494/sam5896,E1,No digital twin/model,,,
R0198,"AI-Driven Innovation and Digital Twins: Integrating MHE Automation to Enhance Smart Warehousing, Logistics, and FSMA Compliance in the Food Industry",Balaraman N.K.; Rajendran P.; Thirumalai S.; Borse D.,2025,Scopus + WoS,10.1109/temsconglobal64363.2025.11238286,E4,Wrong publication type,alto,,
R0199,A REVIEW OF PROCUREMENT AND MANAGEMENT OF BUILDING SERVICES SYSTEMS: COMPLEXITIES AND TECHNOLOGY ADOPTION,Hewavitharana S.; Perera S.; Jin X.; Seneviratne K.; Bamdad K.,2025,Scopus,10.31705/wcs.2025.4,E4,Wrong publication type,bajo,,
R0200,Impact of digital disruption: Transforming supply chain for the future,Rani R.; Tanwar N.; Tyagi M.,2025,Scopus,10.1063/5.0293018,E4,Wrong publication type,bajo,,
R0201,Fincantieri Shipyards Digital Twin Model,Pilutti Namer T.; Tornielli M.,2025,Scopus,10.3233/pmst250135,I,,,,Make
R0202,Integrating artificial intelligence into the supply chain-Implications for management control: A systematic Literature Review,Wissal B.; Rachid E.Z.,2025,Scopus,10.1109/atscm67505.2025.11473486,E4,Wrong publication type,medio,,
R0203,HOW AUTONOMOUS ROBOTS AND INDOOR MAPPING IMPROVE WAREHOUSE SAFETY,Kochnev A.,2025,Scopus,10.5593/sgem2025/2.1/s10.25,I,,,,
R0204,EMPIRICAL MODELING OF THE IMPACT OF INDUSTRY 4.0 TECHNOLOGIES ON LOGISTICS SERVICE QUALITY,Bilad A.; Zaim M.; Zaim F.,2025,Scopus + WoS,10.17270/j.log.001249,E1,No digital twin/model,,,
R0205,Application of Reinforcement Learning to Improve Finished Goods Inventory Management: A Systematic Review,Vieira B.P.; Frazzon E.M.,2025,Scopus + WoS,10.1016/j.ifacol.2025.09.143,E4,Wrong publication type,medio,,
R0206,Digital Transformation in the Aircraft Industry: Technological and Strategic Aspects,Mezina N.A.; Tikhonov G.V.,2025,Scopus,10.3103/s1068798x25702612,E1,No digital twin/model,,,
R0207,"Improvement in Resource Management, Automated Process Monitoring, and Anomaly Detection in Industries: Analyzing AI with Industrial IoT Systems",Mahalakshmi M.; Veena K.; Pandi V.S.; Samiappan D.; Karthi K.; Ali G.,2025,Scopus,10.1109/icsss66939.2025.11346433,E1,No digital twin/model,,,
R0208,Empowering integrated design of a product and its downstream supply chain with smart technologies: A decision-making framework,Bouidmar H.; Labbi O.; Ahmadi A.,2025,Scopus,10.1109/cist65886.2025.11224155,E1,No digital twin/model,,,
R0209,"AI-Driven Transformations in Manufacturing: Bridging Industry 4.0, 5.0, and 6.0 in Sustainable Value Chains",Fernández-Miguel A.; García-Muiña F.E.; Ortíz-Marcos S.; Jiménez-Calzado M.; Fernández del Hoyo A.P.; Settembre-Blundo D.,2025,Scopus + WoS,10.3390/fi17090430,E1,No digital twin/model,,,
R0210,Mapping Artificial Intelligence Research in Automotive Manufacturing: A Bibliometric Study,OULED LAGHZAL S.; Abdelmajid E.O.,2025,Scopus,10.14569/ijacsa.2025.0161189,E4,Wrong publication type,bajo,,
R0211,"Digital twin for sex-specific identification of class III antiarrhythmic drugs based on in vitro measurements, computer models, and machine learning tools",Bai J.; Wang W.; Zhang X.; Lu H.; Zhang H.; Panfilov A.V.; Zhao J.,2025,Scopus,10.1371/journal.pcbi.1013154,E1,No digital twin/model,,,
R0212,Innovative Approaches to Transport Challenges in Port Cities Based on Literature Review,Jankowska A.,2025,Scopus + WoS,10.12716/1001.19.02.16,E4,Wrong publication type,bajo,,
R0213,AI-Driven Supply Chain Decarbonization: Strategies for Sustainable Carbon Reduction,Frikha M.A.; Mrad M.,2025,Scopus + WoS,10.3390/su17219642,E1,No digital twin/model,,,
R0214,Enhancing Manufacturing Agility: The Role of Digital Twins and AI in Reconfigurable Production Systems,Iacovanelli M.; Mazzuto G.; Ortenzi M.; Ciarapica F.E.; Bevilacqua M.; Vanderwal B.,2025,Scopus,10.1109/ice/itmc65658.2025.11106603,E2,No supply chain scope,,,
R0215,Role of IOT in Additive Manufacturing,Dewang Y.; Khan A.; Sharma V.; Mohan S.R.,2025,Scopus,10.1007/978-981-97-6016-9_25,E4,Wrong publication type,bajo,,
R0216,Patient Digital Twins for Dynamic Hospital Supply Chain Management AI-Based Predictive Resource Allocation,Avhad P.R.; Radhakrishnan G.V.; Parashar J.; Malik K.; Gupta K.; Upreti K.,2025,Scopus,10.1109/icdiss68238.2025.11320584,E2,No supply chain scope,,,
R0217,Benefits and Challenges of AI-Based Digital Twin Integration in the Saudi Arabian Construction Industry: A Correspondence Analysis (CA) Approach,Alnaser A.A.; Elmousalami H.,2025,Scopus + WoS,10.3390/app15094675,E1,No digital twin/model,,,
R0218,Development of Intelligent Manufacturing Solutions Based on Agent-Service Approach,Topolsky D.; Beliakova V.; Patrakhina T.,2025,Scopus,10.1109/icieam65163.2025.11028375,E2,No supply chain scope,,,
R0219,Enhancing SAP Predictive Maintenance and Industrial Analytics with LLM-Driven Automation,Chandrakumaran A.,2025,Scopus,10.1109/mpcon66082.2025.11256577,E1,No digital twin/model,,,
R0220,AGV Vehicle Dynamics Optimization in Automated Logistics Warehousing Systems,Hong F.; Ye J.; Liu Z.; Deng J.; Xu Y.; Zheng Y.,2025,Scopus,10.1109/issmas65783.2025.11102937,E3,No AI/ML component,,alto,
R0221,The Impact of AI Foundation models on the future of digital engineering for logistics and supply Chain,Nicoletti B.; Appolloni A.,2025,Scopus,10.1016/j.dte.2025.100058,I,,,,
R0222,Sustainable Design and Lifecycle Prediction of Crusher Blades Through a Digital Replica-Based Predictive Prototyping Framework and Data-Efficient Machine Learning,Sucuoglu H.S.; Aksoy S.; Demircioglu P.; Bogrekci I.,2025,Scopus,10.3390/su17167543,E1,No digital twin/model,,,
R0223,Integrated data-driven and artificial intelligence framework to develop digital twins in distribution system of supply chains: A real industrial case,Ziari M.; Taleizadeh A.A.,2025,Scopus + WoS,10.1016/j.ijpe.2025.109743,I,,,,
R0224,A DIKW-Based Pyramid Framework for Integrating the Metaverse in Supply Chain Management,Ichsan F.A.; Noche B.; Lobeck F.,2025,Scopus,10.1109/ojid.2025.3639210,E4,Wrong publication type,medio,,
R0225,DiEM – A Digital Engine Management Platform for Condition-Based Maintenance and Performance Optimization,Kyrtatos P.; Nikolopoulos L.; Nikolopoulos P.; Simatos P.; Chatzidakis K.,2025,Scopus,10.5957/smc-2025-084,E2,No supply chain scope,,,
R0226,"AI-Driven Sustainable Infrastructure and EV Supply Chain Optimization Using BIM, LiDAR, and SAP-Based Automation",Enugala V.K.; Goel G.,2025,Scopus,10.1109/iconstem65670.2025.11374619,I,,,,
R0227,Digital technologies and modelling for enhancing supply chain efficiency in international road transport,"Onyshchuk, V; Dubytskyi, O; Bodak, V; Pavlova, I; Riabykh, N",2025,WoS,10.20397/2177-6652/2025.v25i1.3114,E1,No digital twin/model,,,
R0228,From Code to Cargo: A Bibliometric Mapping of the Metaverse Revolution in Supply Chain Management,"Krishna, S; Choudhary, A; Dwivedi, R",2025,WoS,10.2478/zireb-2025-0008,E4,Wrong publication type,medio,,
R0229,Into the Revolution of Industry 5.0 in Ensuring Ethical Fashion: A Review on Conceptual Framework,"Nahid-Ull-Islam, M; Hasan, SMM",2025,WoS,10.14502/tekstilec.68.2025057,E4,Wrong publication type,bajo,,
R0230,"Industry 6.0: Vision, technical landscape, and opportunities","Verma, A; Prasad, VK; Kumari, A; Bhattacharya, P; Srivastava, G; Fang, K; Wang, W; Gadekallu, TR",2025,WoS,10.1016/j.aej.2025.08.040,E4,Wrong publication type,bajo,,
R0231,Exploring the metaverse: integrating emerging technologies for Industry 5.0 advancement,"Faraji, A; Arya, SH; Ghasemi, E; Mahabadi, HA; Perera, S",2025,WoS,10.1108/sasbe-04-2025-0169,E4,Wrong publication type,bajo,,
R0232,Coupling simulation and machine learning for predictive analytics in supply chain management,Zhang T.; Lauras M.; Zacharewicz G.; Rabah S.; Benaben F.,2024,Scopus + WoS,10.1080/00207543.2024.2342019,E1,No digital twin/model,,,
R0233,Digital Twin-Driven Reinforcement Learning for Dynamic Path Planning of AGV Systems,Lee D.; Kang Y.-S.; Do Noh S.; Kim J.; Kim H.,2024,Scopus,10.1007/978-3-031-71633-1_25,I,,,,Make
R0234,Research on the Construction of Supply Chains of Digital Twin Aquatic Products Using Artificial Intelligence,Luo J.; Xu Z.,2024,Scopus,10.1145/3696500.3696504,E3,No AI/ML component,,medio,
R0235,PORT MANAGEMENT DIGITAL TWIN AND CONTROL TOWER INTEGRATION: AN APPROACH TO SUPPORT REAL-TIME DECISION MAKING,Fernandes A.; Gutierres D.; Fugihara M.; de Norman B.,2024,Scopus + WoS,10.1109/wsc63780.2024.10838965,E3,No AI/ML component,,alto,
R0236,Revealing the compound interrelationships toward sustainable transition in semiconductor supply chain: A sensitivity analysis,Qiu H.; Tseng S.W.; Zhang X.; Huang C.; Wu K.-J.,2024,Scopus + WoS,10.1016/j.ijpe.2024.109218,E1,No digital twin/model,,,
R0237,Defining a Cognitive Digital Twin architecture in food supply chains: the early outcomes of DSS4LCO initiative,Monizza G.P.; Mozaffari M.; Fabbrizzi S.; Gamper J.; Lanz O.; Matt D.T.,2024,Scopus,10.46354/i3m.2024.foodops.010,I,,,,
R0238,Flexible Hyper-Distributed IoT–Edge–Cloud Platform for Real-Time Digital Twin Applications on 6G-Intended Testbeds for Logistics and Industry,Crespo-Aguado M.; Lozano R.; Hernandez-Gobertti F.; Molner N.; Gomez-Barquero D.,2024,Scopus + WoS,10.3390/fi16110431,E3,No AI/ML component,,,
R0239,"A Systematic Literature Review on the Uses, Benefits, Challenges, and Prospects of Digital Twins in Livestock Farm Management",Hasan M.K.; Mun H.-S.; Ampode K.M.B.; Lagua E.B.; Park H.-R.; Kim Y.-H.; Sharifuzzaman M.; Yang C.-J.,2024,Scopus,10.17582/journal.aavs/2024/12.12.2301.2314,E4,Wrong publication type,bajo,,
R0240,"Predictive manufacturing: State of the art, design standards, limitations, challenges, and future perspectives",Palaniappan R.,2024,Scopus,10.1063/5.0235999,E4,Wrong publication type,bajo,,
R0241,Software and Architecture Orchestration for Process Control in Industry 4.0 Enabled by Cyber-Physical Systems Technologies,Serôdio C.; Mestre P.; Cabral J.; Gomes M.; Branco F.,2024,Scopus + WoS,10.3390/app14052160,E1,No digital twin/model,,,
R0242,A Topic Modeling Approach to Determine Supply Chain Management Priorities Enabled by Digital Twin Technology,Hirata E.; Watanabe D.; Chalmoukis A.; Lambrou M.,2024,Scopus + WoS,10.3390/su16093552,E4,Wrong publication type,alto,,
